#  Dijet Resonance Cross Section for sqrt{s}=13 TeV, |eta|<2.5, |delta eta|<1.3
#(GeV)    (pb) 
Mass    Zprimebb
500.0   14.4628
550.0   10.4016
600.0   7.6472
650.0   5.7398
700.0   4.378
750.0   3.388
800.0   2.6554
850.0   2.1043
900.0   1.68366
950.0   1.35916
1000.0   1.10594
1050.0   0.9064
1100.0   0.74756
1150.0   0.6204
1200.0   0.51766
1250.0   0.43428
1300.0   0.36586
1350.0   0.30976
1400.0   0.26312
1450.0   0.2244
1500.0   0.192038
1600.0   0.1419
1700.0   0.106084
1800.0   0.080036
1900.0   0.060918
2000.0   0.046706
2100.0   0.036058
2200.0   0.027984
2300.0   0.0218526
2400.0   0.0171358
2500.0   0.0134948
2600.0   0.0106656
2700.0   0.008459
2800.0   0.0067298
2900.0   0.005368
3000.0   0.0042944
3100.0   0.0034408
3200.0   0.0027632
3300.0   0.002222
3400.0   0.00179124
3500.0   0.0014454
3600.0   0.00116754
3700.0   0.00094424
3800.0   0.00076406
3900.0   0.00061886
4000.0   0.0005016
4100.0   0.00040656
4200.0   0.00032978
4300.0   0.00026752
4400.0   0.000217008
4500.0   0.000176044
4600.0   0.00014278
4700.0   0.000115764
4800.0   9.3808e-05
4900.0   7.5966e-05
5000.0   6.149e-05
5100.0   4.972e-05
5200.0   4.0172e-05
5300.0   3.2428e-05
5400.0   2.6136e-05
5500.0   2.10452e-05
5600.0   1.6918e-05
5700.0   1.35806e-05
5800.0   1.08834e-05
5900.0   8.7054e-06
6000.0   6.9498e-06
6100.0   5.5352e-06
6200.0   4.4022e-06
6300.0   3.4914e-06
6400.0   2.761e-06
6500.0   2.17932e-06
6600.0   1.7149e-06
6700.0   1.34552e-06
6800.0   1.0527e-06
6900.0   8.2082e-07
7000.0   6.38e-07
7100.0   4.9434e-07
7200.0   3.8148e-07
7300.0   2.9348e-07
7400.0   2.2484e-07
7500.0   1.71688e-07
7600.0   1.30504e-07
7700.0   9.8824e-08
7800.0   7.4536e-08
7900.0   5.5968e-08
8000.0   4.1866e-08
8100.0   3.1174e-08
8200.0   2.3122e-08
8300.0   1.70808e-08
8400.0   1.25642e-08
8500.0   9.2092e-09
8600.0   6.721e-09
8700.0   4.8906e-09
8800.0   3.5464e-09
8900.0   2.5608e-09
9000.0   1.84668e-09
